Tempo(s),EMG_Value
0.005091,7233
0.006589,6817
0.006971,7265
0.007930,5281
0.008925,5633
0.009925,5393
0.010923,5633
0.011925,6849
0.012926,5521
0.013922,6097
0.014925,7105
0.015926,5985
0.016923,6273
0.017924,5729
0.018925,5393
0.019925,6593
0.020924,5249
0.021924,5633
0.022925,6705
0.023924,5905
0.024924,5377
0.025924,6033
0.026925,5409
0.027922,5265
0.028925,7217
0.029923,6673
0.030942,6273
0.031932,4673
0.032926,4881
0.033924,6721
0.034924,6145
0.035924,7473
0.036925,5777
0.037924,5297
0.038924,5505
0.039924,5249
0.040925,6929
0.041925,6209
0.042924,5713
0.043924,5377
0.044924,5105
0.045924,5921
0.046924,6497
0.047923,6145
0.048926,6289
0.049925,5761
0.050923,6433
0.051923,6273
0.052924,5265
0.053923,4913
0.054925,5121
0.055924,5985
0.056925,6017
0.057926,5345
0.058922,6449
0.059925,5697
0.060924,6113
0.061924,5457
0.062924,5361
0.063924,5345
0.064924,5585
0.065925,8242
0.066926,6321
0.067924,6161
0.068924,6497
0.069923,5601
0.070924,5505
0.071926,5425
0.072922,5649
0.073924,5873
0.074924,5697
0.075923,5601
0.076925,5169
0.077924,6017
0.078925,5713
0.079923,5825
0.080924,5825
0.081924,6081
0.082924,5729
0.083924,7217
0.084925,6065
0.085922,5713
0.086925,5393
0.087924,5041
0.088925,6017
0.089925,5457
0.090924,5425
0.091922,5969
0.092925,5345
0.093925,5057
0.094939,6609
0.095931,6065
0.096925,6385
0.097924,6929
0.098923,6913
0.099926,5905
0.100923,5313
0.101923,5681
0.102926,5233
0.103922,5937
0.104926,5857
0.105924,6081
0.106924,5345
0.107922,5297
0.108924,6737
0.109923,6481
0.110924,5329
0.111924,5857
0.112926,6865
0.113925,5585
0.114925,5521
0.115925,7009
0.116923,7809
0.117923,6209
0.118925,5473
0.119924,5409
0.120923,5457
0.121924,5969
0.122922,5921
0.123924,5249
0.124924,5681
0.125924,5505
0.126924,6369
0.127924,5841
0.128924,5825
0.129923,5633
0.130924,6177
0.131923,6913
0.132924,5937
0.133923,6257
0.134925,6449
0.135926,5681
0.136925,5585
0.137922,5473
0.138925,5169
0.139925,4833
0.140925,5713
0.141924,8177
0.142924,7761
0.143924,5857
0.144923,5505
0.145925,6225
0.146923,5441
0.147923,6305
0.148925,6561
0.149924,5425
0.150924,5857
0.151925,6321
0.152924,5937
0.153922,6753
0.154926,8354
0.155925,6305
0.156924,5729
0.157925,5473
0.158939,5793
0.159930,6273
0.160926,5505
0.161926,5569
0.162922,5393
0.163924,6497
0.164924,5425
0.165922,5777
0.166924,5601
0.167926,6033
0.168927,5969
0.169924,6145
0.170925,6449
0.171925,6257
0.172922,6065
0.173925,5313
0.174923,5937
0.175923,6657
0.176925,6785
0.177924,5793
0.178924,5777
0.179924,5681
0.180926,5889
0.181924,5713
0.182925,6321
0.183924,6321
0.184923,5585
0.185925,6593
0.186922,6881
0.187924,5761
0.188923,6433
0.189924,6017
0.190925,5265
0.191924,7185
0.192922,6497
0.193924,5985
0.194923,6177
0.195924,7409
0.196923,5985
0.197925,5281
0.198925,6193
0.199924,5809
0.200924,6465
0.201926,6017
0.202925,6225
0.203926,5681
0.327155,6225
0.327775,6977
0.328192,5521
0.328571,6289
0.328948,5745
0.329390,5345
0.329762,5009
0.330135,4481
0.330506,4961
0.330897,6065
0.331272,6417
0.331647,6529
0.332027,7041
0.332925,6721
0.333925,6625
0.334922,6401
0.335924,5665
0.336925,7569
0.337924,6401
0.338925,6193
0.339925,6913
0.340924,6801
0.341924,6545
0.342926,6161
0.343926,5825
0.344924,6929
0.345924,7313
0.346924,6305
0.347923,6353
0.348922,5937
0.349923,6033
0.350947,7617
0.351928,5569
0.352924,5681
0.353923,5809
0.354924,7233
0.355925,6849
0.356924,7249
0.357925,6305
0.358924,5937
0.359923,5921
0.360923,5841
0.361924,5937
0.362924,7505
0.363926,7649
0.364924,6369
0.365925,5985
0.366925,6513
0.367924,6721
0.368922,6369
0.369924,5793
0.370924,6065
0.371924,7265
0.372925,5889
0.373923,6049
0.374924,6081
0.375925,6993
0.376922,7105
0.377926,5953
0.378924,6049
0.379925,5889
0.380923,6193
0.381926,6193
0.382923,5505
0.383924,6417
0.384925,6385
0.385924,7185
0.386925,6401
0.387924,6801
0.388923,5601
0.389923,6113
0.390924,6321
0.391924,7265
0.392924,6273
0.393924,5409
0.394925,6529
0.395926,5857
0.396924,6673
0.397924,6321
0.398923,6465
0.399924,6321
0.400922,6689
0.401924,5633
0.402925,6145
0.403924,6753
0.404924,6449
0.405924,5569
0.406926,6337
0.407925,7297
0.408922,6993
0.409924,5713
0.410924,5937
0.411922,7297
0.412925,6177
0.413924,5857
0.414939,5313
0.415930,8177
0.416926,7681
0.417925,6881
0.418926,5969
0.419924,6209
0.420922,6465
0.421924,6593
0.422924,5521
0.423924,6833
0.424926,6097
0.425925,5809
0.426925,5937
0.427924,6593
0.428924,6737
0.429924,6817
0.430921,7505
0.431925,6561
0.432922,6353
0.433925,6145
0.434926,6241
0.435924,6881
0.436924,5825
0.437924,5697
0.438924,6353
0.439923,6833
0.440923,6097
0.441925,6689
0.442924,6113
0.443924,6113
0.444925,6497
0.445924,5665
0.446924,6209
0.447924,8834
0.448925,7313
0.449924,6497
0.450924,6657
0.451924,7185
0.452924,6193
0.453924,6241
0.454925,5697
0.455924,6385
0.456925,6737
