EMG_Value
1584
736
1456
1936
1840
1616
2112
1584
1680
2304
2976
2448
6817
4289
2144
2624
3040
2320
3024
2880
3088
1968
2256
2304
2640
2448
3296
2576
2672
2800
3280
2832
2864
2368
3200
1984
2592
3168
3328
2688
4000
2256
2368
3360
2656
2176
5009
4881
3328
2288
2272
2320
3040
3040
2624
3072
2560
2896
2976
2368
2512
3264
3760
3008
2384
2080
2528
2608
2640
2208
2464
2656
2256
3072
4785
3648
2896
2496
2720
2688
2704
2720
2768
2832
2240
2400
2752
2704
3104
3088
2400
2816
3328
2624
2736
2448
2592
2896
2000
3456
3040
2512
2736
2464
2560
8610
5873
6049
2624
2464
2368
2320
3168
3232
2448
6993
2768
7329
4993
2336
2576
2688
2256
2336
2992
2832
2976
3024
2896
2784
2960
3344
2272
2560
2208
2368
2496
3024
3248
2912
3200
2768
3024
2352
3104
2688
2448
2512
2832
3024
3040
2288
2928
2528
2576
5057
2512
3280
5825
2624
2944
2400
3104
4785
7521
6193
3936
2496
2720
2512
2912
2320
2768
2224
3136
3248
3040
2944
3088
3136
3008
2480
2784
3840
3200
2496
3232
2304
2400
2592
2448
7985
4769
6785
3888
2608
3120
3200
2592
2960
3472
2576
1856
2544
2672
2352
2272
2336
3120
4865
3488
3040
2960
2768
2464
3568
2496
2768
2016
3904
4048
2384
2912
2512
3568
2656
5297
4032
2640
2624
2768
2336
2240
4545
4577
3152
2144
3024
2416
2320
1968
2512
4225
4353
2144
2704
2560
3472
3472
3648
3344
2896
2768
2912
2800
2720
2448
3296
2464
2384
2384
3280
3568
4481
3600
2640
2368
2448
2528
2848
2288
2480
2656
4097
3584
3088
3600
2560
2784
3264
3456
2704
2592
3104
3264
2544
3008
2640
3760
3056
2960
2816
4625
2304
8274
2608
2368
2960
3344
2368
2480
1568
2496
1408
1472
2224
1600
1536
1920
3056
2704
1680
1680
2528
1824
1792
1792
1568
1552
2112
2000
2592
1920
3856
4753
1616
1664
2064
2000
2080
2608
3088
3488
2464
1984
2720
3536
4161
2016
4593
3856
3168
2320
1984
1920
1888
1968
1696
2720
3024
2816
1792
2080
1952
1520
2352
2304
1568
3040
5057
2048
1696
2208
2256
2560
1344
1680
3840
1680
2208
2096
1792
2048
1888
2240
2560
1744
2272
1120
1952
2064
2304
1968
3168
2560
1616
1472
1680
1872
1856
2208
2048
3264
3584
2752
3504
2384
7201
3248
3392
2608
2864
2848
3488
3216
2720
2608
2704
3136
2592
2672
3088
2944
2608
2976
2752
2464
3152
2912
2464
2832
2752
2560
2512
2464
3120
2640
2864
2432
2704
4737
3792
3392
2608
2592
2368
3232
3840
2688
2544
2528
2640
2976
2688
3264
2592
3360
2256
2704
2656
2592
2480
2784
2592
2656
2704
3008
6689
3088
7409
6529
4737
3504
2432
2080
3280
2624
2992
2144
2816
2256
3136
2752
3840
2880
2272
2624
2576
4353
3344
2736
3408
3264
2480
3472
3568
3152
2880
4000
3792
2656
2832
2752
2880
3264
2480
2400
2416
2560
3440
3152
2832
2384
2656
2640
2960
2832
3168
2896
4064
3024
2640
3904
6481
7137
7729
3008
2992
2576
2592
2736
3104
3280
2752
2336
2752
4225
3296
3152
2656
3072
3376
3584
2944
2624
2544
2736
2720
2640
2656
2592
2448
2976
3568
3328
3088
2752
3088
3056
2944
3024
3072
3136
2272
2864
2112
2864
2640
2848
2928
2752
3232
2832
3328
3616
2912
2864
2976
2384
2624
2304
3600
3536
2752
2320
2720
2880
4545
3728
2880
2448
3072
3904
2480
2864
2496
4801
3360
2928
2992
2240
2752
2784
4785
3728
2704
2272
3392
3376
3792
2352
1616
2096
1664
2336
2432
2608
2528
3856
2080
2336
3456
2464
2752
3376
3232
2976
2560
2944
9138
3088
6369
2976
3616
4321
2848
3104
2976
2384
4305
2800
7377
4689
2368
3024
3136
3536
3504
2688
2880
2608
2816
3328
3888
2784
2496
3344
3616
2688
3200
2752
2592
2928
2816
2528
2992
2576
2784
3184
3344
2688
4705
4801
3024
2880
3072
2656
2896
2560
3232
2704
2224
3648
3168
2496
2704
4048
4016
2832
3152
3040
2944
2784
2640
2752
3328
2704
2128
3248
3376
3088
2464
2592
2112
3584
4000
2928
3904
3968
2784
2896
2608
2240
5777
3424
2816
2512
